,name,2-7 keV Chandra,0.5-7 keV Chandra,1.2-2 keV Chandra,0.5-1.2 keV Chandra,0.2-0.5 keV Chandra,0.3-8 keV (Chandra),0.5-2 keV (Chandra),FUV (GALEX) AB,NUV (GALEX) AB,u (SDSS PSF) AB,g (SDSS PSF) AB,r (SDSS PSF) AB,i (SDSS PSF) AB,z (SDSS PSF) AB,W1 (WISE),W2 (WISE),W3 (WISE),W4 (WISE),2-10 keV (XMM),4.5 microns (IRAC),8.0 microns (IRAC),24 microns (MIPS),J (2MASS/CTIO),H (2MASS/CTIO),K_s (2MASS/CTIO),0.5-8 keV (Chandra),3.6 microns (IRAC),5.8 microns (IRAC),1-2 keV (Chandra)
8007,2CXO J142724.9-023340,8.3818e-14,1.402225e-14,2.89175e-15,5.8493000000000006e-15,8.526175e-15,,,,,20.099,19.977,19.987,19.796,19.757,14.964333333333334,14.211666666666664,11.422666666666665,8.302333333333333,,,,,,,,,,,
8008,2CXO J142730.3+324106,5.4698333333333335e-15,3.9054499999999996e-15,4.226725e-16,9.8895e-16,2.40635e-15,8.05e-15,,23.5561,21.136475,19.424200000000006,19.1958,19.04,18.892200000000006,18.8666,15.440333333333333,14.170000000000002,10.389333333333333,7.6256666666666675,,372.995,1315.3000000000004,6871.65,,,,,201.665,723.36,
8009,2CXO J142734.8+352543,1.390325e-13,8.734e-14,2.72705e-14,1.1499125e-14,5.1585249999999995e-14,1.6e-13,2.38e-14,19.570125,19.504175000000004,18.564,5.690454545454546,18.2558,18.296,17.8498,13.792666666666667,12.588666666666667,9.499,7.372000000000001,,1517.35,3516.3,8693.900000000001,17.197499999999998,15.8385,15.372,,1105.5,2164.850000000001,
8010,2CXO J142738.2+351132,2.2686099999999998e-14,5.7797e-14,1.3899175e-14,6.496125000000001e-15,3.919425e-14,5.81e-14,1.94e-14,20.2124,19.4222,18.94,18.7214,18.4108,18.5018,18.622400000000006,14.886,13.448333333333332,10.315666666666667,7.446666666666666,,761.02,1912.05,8057.3,,,,,443.715,1188.2,
8011,2CXO J142738.3+325319,2.480685e-13,2.2526500000000005e-13,6.275100000000001e-14,4.152575e-14,1.2405250000000002e-13,2.3800000000000005e-13,6.29e-14,,,19.8478,19.465999999999998,19.3254,19.5212,19.4158,16.034000000000002,15.314,12.29,8.530666666666669,,136.51,197.53,317.87000000000006,,,,,113.565,161.31,
8012,2CXO J142739.4-252102,6.868916000000002e-14,1.834728e-13,4.868680000000002e-14,3.9793560000000015e-14,9.493872e-14,5.69e-14,3.3165000000000007e-12,,,,,,,,,,,,,,,,15.7895,15.267999999999999,14.585,,,,
8013,2CXO J142739.5+331215,,1.6683999999999995e-13,7.827449999999998e-15,2.5115000000000002e-14,1.4340499999999998e-13,,2.97e-14,,,18.994142857142855,18.871857142857145,18.460285714285714,18.159714285714287,17.93414285714286,14.008,13.252,10.739333333333335,8.157000000000002,,863.84,1243.0500000000004,3639.2,16.435,15.6785,15.0205,,746.175,939.125,
8014,2CXO J142744.3+333829,1.1777e-13,1.7688000000000005e-13,7.0689e-14,1.998e-14,9.01485e-14,1.83e-13,3.438e-14,21.164875,19.973825,18.983200000000004,19.0494,18.8176,18.8824,19.032,15.067666666666666,14.064666666666668,11.327999999999998,8.631333333333336,,402.71,745.99,1811.5,,,,,290.27,535.7850000000002,
8015,2CXO J142746.6+330117,7.583625e-14,9.144249999999999e-14,4.313125e-14,1.132825e-14,3.925075e-14,1.06e-13,2.95e-14,21.56745,21.74465,21.336,20.923,20.947,20.648000000000003,20.641,16.56866666666667,15.848333333333334,12.187666666666667,8.503666666666666,,106.125,218.38,777.86,,,,,88.059,144.62,
8016,2CXO J142746.7+441719,8.747950000000001e-13,7.442749999999999e-14,1.6976999999999995e-14,1.14325e-14,5.2129e-14,8.78e-14,,,,19.1226,18.3592,18.3952,18.386199999999995,18.157,14.967333333333334,14.238666666666665,10.78,8.414333333333332,,,,,,,,-13.07,,,
8017,2CXO J142753.8+345244,9.1597e-14,1.26325e-13,6.8365e-14,1.26485e-14,5.166300000000001e-14,,,,,,,,,,,,,,,,,,,,,,,,
