,name,csc_index,catalog,class,cat_name,var_flag,streak_src_flag,pileup_flag,ra,dec,gal_b2,gal_l2,hard_hs,hard_hm,hard_ms,var_inter_prob_b,var_inter_sigma_b,var_intra_prob_b,var_inter_index_b,kp_intra_prob_b,var_intra_index_b,var_inter_hard_prob_hs,ks_intra_prob_b,var_inter_hard_sigma_hm,var_inter_hard_prob_ms,var_inter_hard_prob_hm,index,2-7 keV Chandra,0.5-7 keV Chandra,1.2-2 keV Chandra,0.5-1.2 keV Chandra,0.2-0.5 keV Chandra,0.3-8 keV (Chandra),0.5-2 keV (Chandra),FUV (GALEX) AB,NUV (GALEX) AB,u (SDSS PSF) AB,g (SDSS PSF) AB,r (SDSS PSF) AB,i (SDSS PSF) AB,z (SDSS PSF) AB,W1 (WISE),W2 (WISE),W3 (WISE),W4 (WISE),2-10 keV (XMM),4.5 microns (IRAC),8.0 microns (IRAC),24 microns (MIPS),J (2MASS/CTIO),H (2MASS/CTIO),K_s (2MASS/CTIO),0.5-8 keV (Chandra),3.6 microns (IRAC),5.8 microns (IRAC),1-2 keV (Chandra)
6455,2CXO J120309.6+443152,CSC_26888,STAR,STAR,EM* STHA 85                  ,1,1,1,180.790086550644,44.53126949438068,70.085211,148.883084,,,,,,1.0,,1.0,10.0,,1.0,,,,6477,1.2562680000000001e-12,5.394684000000001e-12,1.123474e-12,5.93587e-13,2.4864e-13,9.220000000000002e-12,1.4009999999999999e-11,,,,-2.50399999999947,,,,8.795333333333334,7.946333333333333,4.622,2.236333333333333,-0.8521739130314423,7.94,5.56,,11.4845,10.638,9.9235,,9.5635,114549.03333333333,
6520,2CXO J121007.7+392312,CSC_270579,ULX,ULX,NGC 4151 ULX1        ,1,0,0,182.53248076417003,39.38668822260025,75.02908000000002,155.36651899999995,,,,,,0.082182706010682,,0.36721150772949,0.0,,0.47408093535920004,,,,6542,4.7141000000000014e-15,3.175249999999999e-14,8.165499999999999e-15,7.81625e-15,1.6287e-14,2.935e-14,2.2e-14,,,20.376666666666665,19.560666666666666,18.736,18.425333333333327,18.191333333333333,15.237333333333336,14.447666666666665,11.429,8.198333333333332,,,,,,,,,,,4.5744e-15
6521,2CXO J121007.7+392312,CSC_270579,VERONCAT,AGN,IXO 43           ,1,0,0,182.53248076417003,39.38668822260025,75.02908000000002,155.36651899999995,,,,,,0.082182706010682,,0.36721150772949,0.0,,0.47408093535920004,,,,6542,4.7141000000000014e-15,3.175249999999999e-14,8.165499999999999e-15,7.81625e-15,1.6287e-14,2.935e-14,2.2e-14,,,20.376666666666665,19.560666666666666,18.736,18.425333333333327,18.191333333333333,15.237333333333336,14.447666666666665,11.429,8.198333333333332,,,,,,,,,,,4.5744e-15
6734,2CXO J122758.7-485343,CSC_111653,ATNF,PULSAR,PSR J1227-4853  ,1,0,0,186.9948164445437,-48.89537034297965,13.79563,298.965508,0.23860087445347,0.28107432854466,-0.046221111805122,,,0.99999999916094,,0.9999999999999358,8.0,,0.9999878395031828,,,,6755,2.607e-15,3.5314e-13,3.7723000000000005e-14,5.0006500000000005e-14,2.6976e-13,3.9799999999999997e-13,,,,,7.5e-15,,,,,,,,,,,,15.717,15.3575,15.4235,,,,
6735,2CXO J122758.7-485343,CSC_111653,HEA,LMXB,J1227-4853              ,1,0,0,186.9948164445437,-48.89537034297965,13.79563,298.965508,0.23860087445347,0.28107432854465997,-0.046221111805122,,,0.99999999916094,,0.9999999999999358,8.0,,0.9999878395031828,,,,6755,2.607e-15,3.5314e-13,3.7723000000000005e-14,5.0006500000000005e-14,2.6976e-13,3.9799999999999997e-13,,,,,7.5e-15,,,,,,,,,,,,15.717,15.3575,15.4235,,,,
6760,2CXO J122922.1+075332,CSC_193819,ULX,ULX,NGC 4472 ULX2        ,1,0,0,187.34221707618144,7.8923505361650275,70.066022,286.711522,-0.27482823235478,0.064959400374766,-0.33229231730169,1.0,1.4633947109401001e-05,0.49507530857305,8.0,0.923347280980825,0.0,0.12339744620232995,0.9557516904454642,0.15674308827373,0.11907786191466994,0.48676298343814,6780,3.312440000000001e-14,4.8764749999999995e-14,1.30148e-14,9.18815e-15,2.757325e-14,8.82e-14,4.0999999999999996e-14,,,21.544,20.753,20.659000000000002,20.936999999999998,20.085,15.15,14.498666666666667,11.789333333333332,8.477333333333334,,,,,,,,,,,
6761,2CXO J122922.1+075332,CSC_193819,VERONCAT,AGN,IXO 56           ,1,0,0,187.34221707618144,7.8923505361650275,70.066022,286.711522,-0.27482823235478,0.064959400374766,-0.33229231730169,1.0,1.4633947109401001e-05,0.49507530857305,8.0,0.923347280980825,0.0,0.12339744620232995,0.9557516904454642,0.15674308827373,0.11907786191466994,0.48676298343814,6780,3.312440000000001e-14,4.8764749999999995e-14,1.30148e-14,9.18815e-15,2.757325e-14,8.82e-14,4.0999999999999996e-14,,,21.544,20.753,20.659000000000002,20.936999999999998,20.085,15.15,14.498666666666667,11.789333333333332,8.477333333333334,,,,,,,,,,,
7426,2CXO J133001.0+471343,CSC_248544,ULX,ULX,NGC 5194/5 ULX7      ,1,0,0,202.50421685888927,47.22888593554328,68.520409,104.830222,0.047470331043098,0.18613366645846,-0.13991255465334,1.0,7.9357330090138e-05,1.0,8.0,1.0,10.0,0.967803678897102,1.0,0.087086927192156,0.8950737548177901,0.20434143671534,7467,2.9913499999999997e-13,3.7694e-13,5.7883e-14,6.236050000000001e-14,2.554450000000001e-13,,,,,,,,,,,,,,,,,,,,,,,,
7427,2CXO J133001.0+471343,CSC_248544,HEA,LMXB,M 51 X-7                ,1,0,0,202.50421685888927,47.22888593554328,68.520409,104.83022199999999,0.047470331043098,0.18613366645845997,-0.13991255465334,1.0,7.9357330090138e-05,1.0,8.0,1.0,10.0,0.9678036788971021,1.0,0.087086927192156,0.8950737548177901,0.20434143671533997,7467,2.9913499999999997e-13,3.7694e-13,5.7883e-14,6.236050000000001e-14,2.554450000000001e-13,,,,,,,,,,,,,,,,,,,,,,,,
7781,2CXO J141312.1-652013,CSC_273267,ULX,ULX,CIRCINUS ULX1        ,1,0,0,213.3005789909738,-65.33720695922071,-3.807339,311.330234,0.77951280449719,0.41224234853217,0.5421611492817,1.0,0.00088924262576044,1.0,8.0,1.0,10.0,1.0,1.0,0.17827881768657,0.9999893370489836,1.0,7823,3.07091e-14,8.399575000000001e-13,1.857375e-14,1.057625e-13,7.479475e-13,2.255e-12,,,,,,,,,,,,,9.000000000000002e-13,,,,,,,4.08e-12,,,
