,true class,pred_class,AGN,STAR,ULX,YSO
156,STAR,STAR,0.0,1.0,0.0,0.0
157,STAR,AGN,0.422,0.394,0.012,0.172
158,AGN,AGN,0.969,0.008,0.023,0.0
159,AGN,AGN,0.988,0.008,0.004,0.0
160,AGN,AGN,0.945,0.01,0.043,0.002
161,ULX,STAR,0.046,0.754,0.198,0.002
162,AGN,AGN,0.9947,0.002,0.0033,0.0
163,AGN,AGN,0.998,0.002,0.0,0.0
164,ULX,STAR,0.182,0.644,0.172,0.002
165,AGN,AGN,0.954,0.032,0.014,0.0
166,STAR,STAR,0.002,0.956,0.042,0.0
167,AGN,AGN,0.988,0.01,0.002,0.0
168,STAR,STAR,0.006,0.86,0.072,0.062
169,STAR,STAR,0.048,0.926,0.004,0.022
170,STAR,STAR,0.008,0.96,0.026,0.006
171,STAR,STAR,0.04,0.838,0.116,0.006
172,STAR,STAR,0.2665,0.546,0.1735,0.014
173,AGN,AGN,0.928,0.04,0.028,0.004
174,STAR,ULX,0.25,0.232,0.506,0.012
175,STAR,STAR,0.002,0.972,0.026,0.0
176,STAR,STAR,0.02,0.926,0.03,0.024
177,STAR,YSO,0.014,0.146,0.018,0.822
178,AGN,AGN,0.602,0.262,0.134,0.002
179,STAR,STAR,0.094,0.848,0.038,0.02
180,AGN,AGN,0.992,0.008,0.0,0.0
181,ULX,AGN,0.55,0.298,0.146,0.006
182,STAR,STAR,0.01,0.956,0.03,0.004
183,STAR,STAR,0.0,0.992,0.008,0.0
184,AGN,AGN,0.983,0.012,0.005,0.0
185,ULX,AGN,0.534,0.422,0.042,0.002
186,STAR,STAR,0.0,0.888,0.112,0.0
187,STAR,STAR,0.0,0.984,0.016,0.0
188,STAR,STAR,0.002,0.912,0.086,0.0
189,STAR,STAR,0.164,0.724,0.084,0.028
190,STAR,AGN,0.482,0.304,0.022,0.192
191,AGN,AGN,0.98,0.0,0.02,0.0
192,AGN,AGN,0.468,0.402,0.038,0.092
193,STAR,STAR,0.03,0.938,0.018,0.014
194,STAR,STAR,0.012,0.982,0.006,0.0
195,AGN,AGN,0.992,0.004,0.004,0.0
196,STAR,STAR,0.0,1.0,0.0,0.0
197,STAR,STAR,0.004,0.946,0.05,0.0
198,STAR,STAR,0.0,0.972,0.028,0.0
199,YSO,STAR,0.138,0.56,0.026,0.276
200,AGN,AGN,0.98,0.02,0.0,0.0
201,STAR,STAR,0.022,0.936,0.024,0.018
202,AGN,AGN,0.85,0.106,0.028,0.016
203,AGN,AGN,0.904,0.088,0.008,0.0
