,true class,pred_class,AGN,STAR,ULX,YSO
515,STAR,STAR,0.006666666666666667,0.9433333333333334,0.048,0.002
516,AGN,AGN,0.908,0.064,0.014,0.014
517,STAR,STAR,0.006,0.928,0.066,0.0
518,STAR,STAR,0.02,0.754,0.004,0.222
519,AGN,AGN,0.9486666666666668,0.02,0.03133333333333333,0.0
520,STAR,STAR,0.0,0.998,0.002,0.0
521,STAR,STAR,0.0,0.93,0.07,0.0
522,YSO,YSO,0.018,0.054,0.014,0.914
523,AGN,AGN,0.654,0.288,0.032,0.026
524,AGN,AGN,1.0,0.0,0.0,0.0
525,STAR,STAR,0.052,0.824,0.114,0.01
526,YSO,YSO,0.02,0.074,0.002,0.904
527,AGN,AGN,0.934,0.004,0.062,0.0
528,STAR,STAR,0.008,0.93,0.056,0.006
529,AGN,AGN,0.518,0.292,0.122,0.068
530,AGN,AGN,0.994,0.0,0.006,0.0
531,AGN,YSO,0.368,0.08,0.042,0.51
532,STAR,STAR,0.006,0.99,0.004,0.0
533,STAR,YSO,0.232,0.072,0.02,0.676
534,AGN,AGN,0.9872000000000001,0.004,0.0088,0.0
535,STAR,STAR,0.0,0.982,0.018,0.0
536,STAR,STAR,0.188,0.668,0.14,0.004
537,AGN,STAR,0.186,0.402,0.398,0.014
538,AGN,AGN,0.9428,0.006,0.0512,0.0
539,ULX,ULX,0.024,0.374,0.598,0.004
540,STAR,STAR,0.177,0.791,0.016,0.016
541,AGN,AGN,0.942,0.02,0.038,0.0
542,STAR,STAR,0.0,0.994,0.006,0.0
543,AGN,STAR,0.112,0.598,0.274,0.016
544,AGN,AGN,0.986,0.01,0.004,0.0
545,AGN,AGN,0.982,0.008,0.01,0.0
