,No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
20,21,3.6 microns (IRAC),104.24,+/-2.9499E-01,microJy,8.44E+13,0.000104,2.95E-07,2.95E-07,,,+/-2.95E-07,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,5.8" aperture,From new raw data
21,22,3.6 microns (IRAC),62.713,+/-1.3793E-01,microJy,8.44E+13,6.27E-05,1.38E-07,1.38E-07,,,+/-1.38E-07,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
22,23,3.6 microns (IRAC),57.558,+/-1.3470E-01,microJy,8.44E+13,5.76E-05,1.35E-07,1.35E-07,,,+/-1.35E-07,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
23,24,3.6 microns (IRAC),76.066,+/-2.0775E-01,microJy,8.44E+13,7.61E-05,2.08E-07,2.08E-07,,,+/-2.08E-07,Jy,2013SSTSLC4.2....0C,uncertainty,3.55       microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
24,25,4.5 microns (IRAC),57.942,+/-3.9853E-01,microJy,6.67E+13,5.79E-05,3.99E-07,3.99E-07,,,+/-3.99E-07,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
25,26,4.5 microns (IRAC),63.964,+/-6.4410E-01,microJy,6.67E+13,6.40E-05,6.44E-07,6.44E-07,,,+/-6.44E-07,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,5.8" aperture,From new raw data
26,27,4.5 microns (IRAC),73.348,+/-3.3859E-01,microJy,6.67E+13,7.33E-05,3.39E-07,3.39E-07,,,+/-3.39E-07,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
27,28,4.5 microns (IRAC),80.324,+/-6.6845E-01,microJy,6.67E+13,8.03E-05,6.68E-07,6.68E-07,,,+/-6.68E-07,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,5.8" aperture,From new raw data
28,29,4.5 microns (IRAC),49.791,+/-3.9929E-01,microJy,6.67E+13,4.98E-05,3.99E-07,3.99E-07,,,+/-3.99E-07,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
29,30,4.5 microns (IRAC),101.1,+/-6.2565E-01,microJy,6.67E+13,0.000101,6.26E-07,6.26E-07,,,+/-6.26E-07,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,5.8" aperture,From new raw data
