,name,ra,dec
0,1RXS J013308.9+383218,23.28633333333333,38.53811111111111
1,1RXS J044027.0+023300,70.11308333333334,2.5502777777777776
2,1RXS J221343.9+173301,333.43345833333325,17.54775
3,2MASS J00153821+2636574,3.909330416666666,26.615781944444446
4,2MASS J23255145-0140232,351.46448625,-1.6732349999999998
5,2SLAQ J081418.92-005022.0,123.57881749999997,-0.8394477777777778
6,CRTS J005152.9+204017,12.97033333333333,20.6715
7,CRTS J010411.6-031341,16.048458749999998,-3.2284105555555556
8,CRTS J010522.2+110253,16.34258333333333,11.048027777777778
9,CRTS J010550.1+190317,16.458744999999997,19.054722222222225
10,CRTS J011613.8+092216,19.057364999999997,9.3711325
11,CRTS J015021.2-124425,27.58825,-12.74036111111111
12,CRTS J021110.2+171624,32.792508749999996,17.273375277777777
13,CRTS J023302.6+184822,38.26099999999999,18.80611111111111
14,CRTS J023638.0+111157,39.15842,11.199003888888889
15,CRTS J032627.3+070744,51.61365958333333,7.1289702777777775
16,CRTS J033031.4+201402,52.63095833333333,20.23375
17,CRTS J033231.9+020439,53.13295833333333,2.0774722222222226
18,CRTS J033555.8+191119,53.982502499999995,19.188646666666667
19,CRTS J034515.4-015216,56.31419624999999,-1.8712122222222223
20,CRTS J035034.9+353247,57.64583333333333,35.546388888888885
21,CRTS J035758.7+102943,59.49440166666666,10.49509611111111
22,CRTS J041138.6+232219,62.912499999999994,23.372222222222224
23,CRTS J041455.7+215643,63.73214041666666,21.945252777777778
24,CRTS J043517.8+002941,68.82387499999999,0.4946388888888889
25,CRTS J050124.1+203818,75.35054999999998,20.638309166666666
26,CRTS J050716.2+125314,76.81762499999998,12.887277777777777
27,CRTS J051814.5-024503,79.56249999999999,-2.7508333333333335
28,CRTS J060037.6-080945,90.15659333333332,-8.162465277777779
29,CRTS J064608.2+403305,101.53429166666666,40.55141666666666
30,CRTS J064729.3+495027,101.87210249999998,49.84082111111111
31,CRTS J064804.5+414702,102.01879166666666,41.783833333333334
32,CRTS J072210.7+260255,110.54437499999997,26.0485
33,CRTS J074928.0+190452,117.36672083333332,19.081138888888887
34,CRTS J075713.8+222253,119.30756249999999,22.381391666666666
35,CRTS J080729.7+153442,121.87377083333332,15.578322222222223
36,CRTS J081210.2+040352,123.04266166666665,4.064286666666667
37,CRTS J084041.5+000520,130.17252874999997,0.0889425
38,CRTS J084127.4+210054,130.36404166666668,21.01488888888889
39,CRTS J084545.3-051130,131.43891666666664,-5.191611111111111
40,CRTS J090210.2-113032,135.54270916666667,-11.508807222222222
41,CRTS J091453.6+113402,138.72331874999995,11.567060555555555
42,CRTS J101545.9+033312,153.94116666666665,3.5532777777777778
