,freq
363,370000000000.0
364,375000000000.0
365,443000000000.0
366,446000000000.0
367,453000000000.0
368,454000000000.0
369,461000000000.0
370,492000000000.0
371,532000000000.0
372,535000000000.0
373,544000000000.0
374,555000000000.0
375,576000000000.0
376,600000000000.0
377,666000000000.0
378,667000000000.0
379,691000000000.0
380,769000000000.0
381,807000000000.0
382,809000000000.0
383,857000000000.0
384,922000000000.0
385,1040000000000.0
386,1150000000000.0
387,1200000000000.0
388,1270000000000.0
389,1380000000000.0
390,1460000000000.0
391,1470000000000.0
392,1500000000000.0
393,1620000000000.0
394,1670000000000.0
395,1720000000000.0
396,1760000000000.0
397,1810000000000.0
398,1860000000000.0
399,1870000000000.0
400,1900000000000.0
401,1920000000000.0
402,2000000000000.0
403,2060000000000.0
404,2070000000000.0
405,2140000000000.0
406,2240000000000.0
407,2460000000000.0
408,2510000000000.0
409,2520000000000.0
410,2700000000000.0
411,2800000000000.0
412,2900000000000.0
413,2930000000000.0
414,2970000000000.0
415,3000000000000.0
416,3150000000000.0
417,3330000000000.0
418,3390000000000.0
419,3410000000000.0
420,3550000000000.0
421,3630000000000.0
422,3740000000000.0
423,4200000000000.0
424,4280000000000.0
425,4450000000000.0
426,4470000000000.0
427,4510000000000.0
428,4600000000000.0
429,4610000000000.0
430,4740000000000.0
431,4750000000000.0
432,4760000000000.0
433,4930000000000.0
434,5000000000000.0
435,5230000000000.0
436,5260000000000.0
437,5620000000000.0
438,5770000000000.0
439,5790000000000.0
440,8330000000000.0
441,8610000000000.0
442,8750000000000.0
443,8950000000000.0
444,8980000000000.0
445,9060000000000.0
446,9080000000000.0
447,9850000000000.0
448,9990000000000.0
449,10600000000000.0
450,11500000000000.0
451,11600000000000.0
452,12000000000000.0
453,12200000000000.0
454,12300000000000.0
455,12500000000000.0
456,12600000000000.0
457,12700000000000.0
458,12800000000000.0
459,13300000000000.0
460,13500000000000.0
461,13600000000000.0
462,13900000000000.0
463,14200000000000.0
464,14300000000000.0
465,14700000000000.0
466,14800000000000.0
467,15000000000000.0
468,15100000000000.0
469,15400000000000.0
470,15600000000000.0
471,15800000000000.0
472,15900000000000.0
473,16000000000000.0
474,16300000000000.0
475,16400000000000.0
476,16600000000000.0
477,16700000000000.0
478,16900000000000.0
479,17000000000000.0
480,17100000000000.0
481,17200000000000.0
482,17600000000000.0
483,18300000000000.0
484,18500000000000.0
485,18700000000000.0
486,19000000000000.0
487,19200000000000.0
488,19300000000000.0
489,19800000000000.0
490,20000000000000.0
491,20100000000000.0
492,20400000000000.0
493,20700000000000.0
494,20800000000000.0
495,20900000000000.0
496,21000000000000.0
497,21100000000000.0
498,21400000000000.0
499,22000000000000.0
500,22200000000000.0
501,23000000000000.0
502,23100000000000.0
503,23400000000000.0
504,23600000000000.0
505,23800000000000.0
506,24000000000000.0
507,24200000000000.0
508,24300000000000.0
509,24400000000000.0
510,24500000000000.0
511,24600000000000.0
512,25000000000000.0
513,25200000000000.0
514,25300000000000.0
515,25400000000000.0
516,25500000000000.0
517,25600000000000.0
518,25700000000000.0
519,25800000000000.0
520,25900000000000.0
521,26000000000000.0
522,26100000000000.0
523,26300000000000.0
524,26500000000000.0
525,26600000000000.0
526,26700000000000.0
527,26800000000000.0
528,27000000000000.0
529,27300000000000.0
530,27800000000000.0
531,27900000000000.0
532,28000000000000.0
533,28100000000000.0
534,28300000000000.0
535,28500000000000.0
536,28600000000000.0
537,28700000000000.0
538,28800000000000.0
539,28900000000000.0
540,29100000000000.0
541,29400000000000.0
542,29700000000000.0
543,30000000000000.0
544,30200000000000.0
545,30500000000000.0
546,30900000000000.0
547,31000000000000.0
548,31200000000000.0
549,31900000000000.0
550,32200000000000.0
551,32500000000000.0
552,33300000000000.0
553,33700000000000.0
554,34100000000000.0
555,34300000000000.0
556,34500000000000.0
557,34900000000000.0
558,35700000000000.0
559,36000000000000.0
560,36100000000000.0
561,37300000000000.0
562,37400000000000.0
563,37500000000000.0
564,37900000000000.0
565,38100000000000.0
566,38200000000000.0
567,38300000000000.0
568,38400000000000.0
569,38500000000000.0
570,38600000000000.0
571,38900000000000.0
572,39200000000000.0
573,39400000000000.0
574,40300000000000.0
575,40500000000000.0
576,42800000000000.0
577,42900000000000.0
578,43000000000000.0
579,43400000000000.0
580,44100000000000.0
581,44400000000000.0
582,44700000000000.0
583,47500000000000.0
584,47700000000000.0
585,48200000000000.0
586,48400000000000.0
587,49100000000000.0
588,50000000000000.0
589,51500000000000.0
590,52300000000000.0
591,52500000000000.0
592,52600000000000.0
593,53100000000000.0
594,54400000000000.0
595,54500000000000.0
596,56100000000000.0
597,60000000000000.0
598,61700000000000.0
599,62500000000000.0
600,62700000000000.0
601,64000000000000.0
602,64500000000000.0
603,65100000000000.0
604,65200000000000.0
605,66200000000000.0
606,66300000000000.0
607,66600000000000.0
608,66700000000000.0
609,66800000000000.0
610,66900000000000.0
611,67000000000000.0
612,69200000000000.0
613,73100000000000.0
614,74000000000000.0
615,76200000000000.0
616,76900000000000.0
617,78500000000000.0
618,78900000000000.0
619,79000000000000.0
620,79300000000000.0
621,79500000000000.0
622,79600000000000.0
623,80100000000000.0
624,81000000000000.0
625,81900000000000.0
626,82100000000000.0
627,83000000000000.0
628,83300000000000.0
629,84200000000000.0
630,84400000000000.0
631,84600000000000.0
632,84700000000000.0
633,85700000000000.0
634,85900000000000.0
635,86900000000000.0
636,87000000000000.0
637,87400000000000.0
638,88200000000000.0
639,89300000000000.0
640,89400000000000.0
641,89500000000000.0
642,90800000000000.0
643,91100000000000.0
644,93400000000000.0
645,93700000000000.0
646,99900000000000.0
647,114000000000000.0
