,band,freq,unit
122,[S II] 6716 (Bok),446000000000000.0,erg s^-1^ cm^-2^
123,[S II] 6731 (Bok),445000000000000.0,erg s^-1^ cm^-2^
124,R (Johnson),428000000000000.0,mag
125,I Cousins (du Pont),379000000000000.0,mag
126,J (ESO/SPM),250000000000000.0,milliJy
127,[Fe II] 1.257 line,238000000000000.0,erg cm^-2^ s^-1^
128,Pa{beta} line,234000000000000.0,erg cm^-2^ s^-1^
129,H (ESO/SPM),190000000000000.0,milliJy
130,H_2_ (1-0) S(3) line,153000000000000.0,erg cm^-2^ s^-1^
131,H_2_ (1-0) S(2) line,147000000000000.0,erg cm^-2^ s^-1^
132,H_2_ (1-0) S(1) line,141000000000000.0,erg cm^-2^ s^-1^
133,F_K (total),137000000000000.0,log milliJy
134,H_2_ (1-0) S(0) line,135000000000000.0,erg cm^-2^ s^-1^
135,H_2_ (2-1) S(1) line,133000000000000.0,erg cm^-2^ s^-1^
136,3.3 PAH (AKARI),90800000000000.0,erg/s/cm^2^
137,Br{alpha} (AKARI),74000000000000.0,erg/s/cm^2^
138,5.5 microns (IRS),54500000000000.0,Jy
139,6 microns (ISO),50000000000000.0,Jy
140,H_2S(6) (Spitzer),49100000000000.0,erg/s/cm^2^
141,PAH 6.2 (Spitzer),48400000000000.0,W/cm^2^
142,H_2S(5) (Spitzer),43400000000000.0,erg/s/cm^2^
143,[Ar II] (Spitzer),42900000000000.0,W/cm^2^
144,7.4 microns (IRS),40500000000000.0,W/m^2^
145,7.6 microns (IRS),39400000000000.0,W/m^2^
146,7.8 microns (IRS),38400000000000.0,W/m^2^
147,H_2S(4) (Spitzer),37500000000000.0,erg/s/cm^2^
148,8.3 microns (IRS),36100000000000.0,W/m^2^
149,8.6 microns (IRS),34900000000000.0,W/m^2^
150,H_2S(3) (Spitzer),31000000000000.0,W/m^2^
151,H_2S(3) (Spitzer),30900000000000.0,erg/s/cm^2^
152,10 microns (IRS),30000000000000.0,Jy
153,N,28300000000000.0,milliJy
154,10.8 microns MIRLIN,27800000000000.0,milliJy
