,band,freq,unit
522,log nu(Hz) 14.90,794000000000000.0,log f_nu (milliJy)
523,log nu(Hz) 14.85,708000000000000.0,log f_nu (milliJy)
524,log nu(Hz) 14.75,562000000000000.0,log f_nu (milliJy)
525,log nu(Hz) 14.70,501000000000000.0,log f_nu (milliJy)
526,log nu(Hz) 14.55,355000000000000.0,log f_nu (milliJy)
527,log nu(Hz) 14.50,316000000000000.0,log f_nu (milliJy)
528,log nu(Hz) 14.45,282000000000000.0,log f_nu (milliJy)
529,1.1 microns (NICMOS),272000000000000.0,mag
530,1.6 microns (NICMOS),188000000000000.0,mag
531,log nu(Hz) 13.934,85900000000000.0,log f_nu (milliJy)
532,log nu(Hz) 13.48,30200000000000.0,log f_nu (milliJy)
533,1.2 mm (IRAM),241000000000.0,milliJy
534,1300 microns,231000000000.0,milliJy
535,3.5 mm (IRAM),84200000000.0,milliJy
536,1.65 GHz (MERLIN),1650000000.0,Jy
537,610 MHz (GMRT),610000000.0,Jy
538,325 MHz (GMRT),325000000.0,Jy
539,235 MHz (GMRT),235000000.0,Jy
540,32.5 GHz (EVLA),32500000000.0,milliJy
541,5.95 GHz (EVLA),5950000000.0,milliJy
542,0.5-2 keV (ROSAT),2.9e+17,erg cm^-2^ s^-1^
543,0.1-2 keV (ROSAT),2.54e+17,erg cm^-2^ s^-1^
544,[Fe VII] 6087 Subaru,493000000000000.0,ergs/s/cm^2^
545,[O I] 6364 Subaru,471000000000000.0,ergs/s/cm^2^
546,[Fe X] 6374 Subaru,470000000000000.0,ergs/s/cm^2^
547,[Ar III] 7136 Subaru,420000000000000.0,ergs/s/cm^2^
548,[O II] 7320 Subaru,410000000000000.0,ergs/s/cm^2^
549,[O II] 7330 Subaru,409000000000000.0,ergs/s/cm^2^
550,O I + He I 0.962 WHT,312000000000000.0,ergs/cm^2^/s
551,F110W (HST),268000000000000.0,milliJy
552,Ne II 1.287 (WHT),233000000000000.0,ergs/cm^2^/s
553,Ne I 1.292 (WHT),232000000000000.0,ergs/cm^2^/s
554,[Si X] 1.430 (WHT),210000000000000.0,erg/cm^2^/s
555,[S XI] 1.920 (WHT),156000000000000.0,erg/cm^2^/s
556,63 microns (ISO),4760000000000.0,Jy
557,88 microns (ISO),3410000000000.0,Jy
558,145 microns (ISO),2070000000000.0,Jy
559,20.0 GHz (OVRO),20000000000.0,milliJy
560,1.46 GHz (VLA),1460000000.0,milliJy
561,F555W (HST),554000000000000.0,mag
562,F814W (HST),378000000000000.0,mag
563,F814W (HST),369000000000000.0,mag
564,3.3 microns (Subaru),91100000000000.0,erg s^-1^ cm^-2^
565,7.3 microns (ISO),40300000000000.0,milliJy
566,11.7 microns Subaru,25600000000000.0,milliJy
567,12.0 microns (ISO),25200000000000.0,milliJy
568,H_2O (3_13-2_20) VLA,183000000000.0,milliJy
569,40 GHz (FCRAO),40000000000.0,milliJy
570,1.45 GHz (VLA),1450000000.0,milliJy
571,NUV (GALEX) AB,1330000000000000.0,mag
572,F606W (HST) AB,508000000000000.0,mag
573,W1 (WISE),89300000000000.0,Jy
574,W3 (WISE),25400000000000.0,Jy
575,W4 (WISE),13500000000000.0,Jy
576,15-50 keV (Suzaku),7.86e+18,log(erg/s/cm^2^)
577,J7.9 (VLT),38600000000000.0,milliJy
578,B9.7 (VLT),30500000000000.0,milliJy
579,B10.7 (VLT),28100000000000.0,milliJy
580,B11.7 (VLT),26000000000000.0,milliJy
581,B12.4 (VLT),24000000000000.0,milliJy
582,UVW2 (Swift/UVOT),1480000000000000.0,milliJy
583,UVM2 (Swift-UVOT),1340000000000000.0,milliJy
584,UVW1 (Swift-UVOT),1140000000000000.0,milliJy
585,0.01-1 TeV (Fermi),1.22e+26,erg/cm^2^/s
586,EGRET (0.1-5 GeV),6.17e+23,Jy
587,F814W (HST),370000000000000.0,nanoJy
588,148 GHz (ACT),148000000000.0,milliJy
589,20.1 GHz (ATCA),20100000000.0,milliJy
590,0.2-12 keV (XMM),1.47e+18,erg s^-1^ cm^-2^
591,240 MHz (GMRT),240000000.0,milliJy
592,8 GHz (VLA),8440000000.0,milliJy
593,U (ESO/WFI) AB,881000000000000.0,mag
594,u* (CFHT/Megacam) AB,790000000000000.0,mag
595,B (CFHT/CFH12K) AB,696000000000000.0,mag
596,r' (CFHT/Megacam) AB,478000000000000.0,mag
597,i' (CFHT/Megacam) AB,394000000000000.0,mag
598,z' (CFHT/Megacam) AB,343000000000000.0,mag
599,B (Johnson),669000000000000.0,milliJy
600,R' (Cousins),448000000000000.0,milliJy
601,I' (Cousins),375000000000000.0,milliJy
602,L,83000000000000.0,mag
603,F814W (HST),359000000000000.0,mag
604,38 MHz (8C),37800000.0,Jy
605,F702W (HST/WFPC2),437000000000000.0,mag
606,L' (UKIRT/IRCAM3),79600000000000.0,mag
607,0.1-10 keV (Chandra),1.22e+18,erg/s/cm^2^
608,O VIII K{alpha},1.58e+17,erg/s/cm^2^
609,1000 A (FUSE),3000000000000000.0,ergs/cm^2^/s/A
610,1030 A (FUSE),2910000000000000.0,erg/cm^2^/s/A
611,J (OAN-SPM),235000000000000.0,mag
612,42.00 GHz Effelsberg,42000000000.0,Jy
613,22 GHz (VLBI),22300000000.0,Jy
614,15300 MHz,15300000000.0,Jy
615,14.60 GHz Effelsberg,14600000000.0,Jy
616,50 GeV-2 TeV (Fermi),2.48e+26,erg/cm^2^/s
617,0.4-10 keV (XMM),1.26e+18,erg cm^-2^ s^-1^
618,B (Mt. Lemmon),702000000000000.0,milliJy
619,V (Mt. Lemmon),548000000000000.0,milliJy
620,F28x50LP (STIS),415000000000000.0,mag
621,K (Mt. Lemmon),131000000000000.0,milliJy
622,375 GHz,375000000000.0,Jy
623,270 GHz,270000000000.0,Jy
624,234.1 GHz (GBT),234000000000.0,Jy
625,226 GHz (NRAO),226000000000.0,Jy
626,151.3 GHz (GBT),151000000000.0,Jy
627,96.4 GHz (GBT),96400000000.0,Jy
628,87.3 GHz (FCRAO),87300000000.0,Jy
629,75.6 GHz (GBT),75600000000.0,Jy
630,14.5 GHz (UMRAO),14500000000.0,Jy
631,14 GHz,14000000000.0,Jy
632,6.65 GHz (Ceduna),6650000000.0,Jy
633,10-20 keV (MAXI),3.63e+18,erg/cm^2^/s
634,4-10 keV (MAXI),1.69e+18,erg/cm^2^/s
635,3-4 keV (MAXI),8.46e+17,erg/cm^2^/s
636,0.2-8 keV (Chandra),9.91e+17,erg/s/cm^2^
637,L' (KPNO),82100000000000.0,Jy
638,L (ESO/SPM),79500000000000.0,milliJy
639,L' (AAO),78900000000000.0,mag
640,4.5 microns (ISO),66600000000000.0,milliJy
641,6.7 microns (ISO),44700000000000.0,milliJy
642,Si2 (Gemini),34500000000000.0,milliJy
643,Si2 (GeminiS),34300000000000.0,milliJy
644,10.2 microns,29400000000000.0,Jy
645,Qa (Gemini),16600000000000.0,milliJy
646,20.4 microns,14700000000000.0,Jy
647,3.5 mm (NRAO),85700000000.0,Jy
648,R (Cousins) (ESO),440000000000000.0,mag
649,17-80 keV (INTEGRAL),1.17e+19,erg/cm^2^/s
650,3.5-15 keV (XMM),2.24e+18,erg cm^-2^ s^-1^
651,NUV (GALEX) AB,1310000000000000.0,mag
652,3390A,885000000000000.0,10^-26 erg/cm^2/s/Hz
653,3448A,870000000000000.0,10^-26 erg/cm^2/s/Hz
654,3509A,855000000000000.0,10^-26 erg/cm^2/s/Hz
655,3571A,840000000000000.0,10^-26 erg/cm^2/s/Hz
656,3636A,825000000000000.0,10^-26 erg/cm^2/s/Hz
657,3704A,810000000000000.0,10^-26 erg/cm^2/s/Hz
658,3862A,777000000000000.0,10^-26 erg/cm^2/s/Hz
659,4032A,744000000000000.0,10^-26 erg/cm^2/s/Hz
660,4167A,720000000000000.0,10^-26 erg/cm^2/s/Hz
661,4350A,690000000000000.0,10^-26 erg/cm^2/s/Hz
662,4464A,672000000000000.0,10^-26 erg/cm^2/s/Hz
663,4900A,612000000000000.0,10^-26 erg/cm^2/s/Hz
664,4950A,606000000000000.0,10^-26 erg/cm^2/s/Hz
665,5000A,600000000000000.0,10^-26 erg/cm^2/s/Hz
666,5263A,570000000000000.0,10^-26 erg/cm^2/s/Hz
667,5556A,540000000000000.0,10^-26 erg/cm^2/s/Hz
668,5840A,514000000000000.0,10^-26 erg/cm^2/s/Hz
669,6055A,495000000000000.0,10^-26 erg/cm^2/s/Hz
670,r (SDSS) AB,486000000000000.0,mag
671,6540A,459000000000000.0,10^-26 erg/cm^2/s/Hz
672,6620A,453000000000000.0,10^-26 erg/cm^2/s/Hz
673,6800A,441000000000000.0,10^-26 erg/cm^2/s/Hz
674,7100A,423000000000000.0,10^-26 erg/cm^2/s/Hz
675,i (SDSS) AB,401000000000000.0,mag
676,7850A,382000000000000.0,10^-26 erg/cm^2/s/Hz
677,8080A,371000000000000.0,10^-26 erg/cm^2/s/Hz
678,8400A,357000000000000.0,10^-26 erg/cm^2/s/Hz
679,z (SDSS) AB,336000000000000.0,mag
680,J (VLT),230000000000000.0,Jy
681,H' (Johnson),193000000000000.0,mag
682,H (Johnson),185000000000000.0,mag
683,[Si VII] line,121000000000000.0,ergs cm^-2^ s^-1^
684,[Al VI] (UKIRT),81900000000000.0,W/m^2^
685,H I 8-5 (UKIRT),80100000000000.0,W/m^2^
686,L (VLT),79000000000000.0,Jy
687,[Si IX] (UKIRT),76200000000000.0,W/m^2^
688,M (VLT),67000000000000.0,Jy
689,[Ar VI] (UKIRT),66200000000000.0,W/m^2^
690,[Na VII] (UKIRT),64000000000000.0,W/m^2^
691,M' (VLT/NACO),62700000000000.0,mag
692,5.0 microns,60000000000000.0,Jy
693,6.8 microns (ISOCAM),44100000000000.0,milliJy
694,10.4 microns TIMMI2,28800000000000.0,Jy
695,NEII_2 (VLT),23000000000000.0,milliJy
696,14.9 microns ISOCAM,20100000000000.0,milliJy
697,Q1 (VLT),17000000000000.0,milliJy
698,21 microns,14300000000000.0,Jy
699,[Ne II] 36.0 (IRS),8330000000000.0,W/cm^2^
700,[O III](52) (ISO),5770000000000.0,W m^-2^
701,134 microns,2240000000000.0,Jy
702,390 microns,769000000000.0,Jy
703,540 microns,555000000000.0,Jy
704,810 microns (SMA),370000000000.0,milliJy
705,HCO^+^(3-2) (SMA),268000000000.0,Jy km/s
706,HCN(3-2) (SMA),266000000000.0,Jy km/s
707,^13^CO(2-1) (SMA),220000000000.0,Jy km/s
708,1.4 mm (SMA),214000000000.0,milliJy
709,^13^CO(1-0) (PdBI),110000000000.0,Jy km/s
710,HCO+ (1-0) (IRAM),89200000000.0,Jy km/s
711,HCN (1-0) (IRAM),88600000000.0,Jy km/s
712,31 GHz (OVRO),31000000000.0,milliJy
713,25.1 GHz (GBT),25100000000.0,Jy
714,23.4 GHz (GBT),23400000000.0,Jy
715,57.5 MHz,57500000.0,Jy
716,4 MHz (VLSSr),74000000.0,milliJy
717,105.4 GHz (GBT),105000000000.0,Jy
718,82.7 GHz (GBT),82700000000.0,Jy
719,77 GHz (MRT),77000000000.0,Jy
720,4.985 GHz (VLA),4980000000.0,Jy
721,4.535 GHz (VLA),4540000000.0,Jy
722,1.66 GHz (VLA),1660000000.0,milliJy
723,1349.8 MHz (VLA),1350000000.0,milliJy
724,1.335 GHz (VLA),1340000000.0,Jy
725,0.333 GHz (VLA),333000000.0,Jy
726,0.302 GHz (VLA),302000000.0,Jy
727,43 GHz (VLBA),43100000000.0,milliJy
728,B (OHP),714000000000000.0,mag
729,He I 2.060 (WHT),146000000000000.0,erg/cm^2^/s
730,[Ar III] 8.9 Spitzer,33700000000000.0,W/m^2^
731,10.7 microns Spitzer,28000000000000.0,W/m^2^
732,[S III] 33.4 Spitzer,8980000000000.0,W/m^2^
733,0.5-5 keV (Chandra),6.65e+17,erg cm^-2^ s^-1^
734,UV_1650 (m_T),1820000000000000.0,mag
735,B,666000000000000.0,Jy
736,R,454000000000000.0,Jy
737,B (VLT),699000000000000.0,mag
738,F435W (HST),692000000000000.0,mag
739,F450W (HST),663000000000000.0,mag
740,V (VLT),541000000000000.0,mag
741,F814W (HST),361000000000000.0,mag
742,400 GeV (Whipple),9.67e+25,erg cm^-2^ s^-1^
743,6650A,451000000000000.0,10^-26 erg/cm^2/s/Hz
744,6776A,443000000000000.0,10^-26 erg/cm^2/s/Hz
745,3.6 microns IRAC AB,84600000000000.0,mag
746,4.5 microns IRAC AB,66800000000000.0,mag
747,5.8 microns IRAC AB,52500000000000.0,mag
748,8.0 microns IRAC AB,38200000000000.0,mag
749,Si-2 (GeminiN),34100000000000.0,milliJy
750,9.6 microns (ISOCAM),31200000000000.0,milliJy
751,22.5 microns,13300000000000.0,Jy
752,24 microns MIPS AB,12800000000000.0,mag
753,57 microns (ISO),5260000000000.0,Jy
754,200 microns (ISO),1500000000000.0,Jy
755,1100 microns,273000000000.0,Jy
756,U,821000000000000.0,photons/m^2^/s/nm
757,U (CTIO),818000000000000.0,mag
758,418 nm,717000000000000.0,photons/m^2^/s/nm
759,B,655000000000000.0,photons/m^2^/s/nm
760,462 nm,649000000000000.0,photons/m^2^/s/nm
761,G (CTIO),629000000000000.0,mag
762,519 nm,578000000000000.0,photons/m^2^/s/nm
763,572 nm,524000000000000.0,photons/m^2^/s/nm
764,605 nm,496000000000000.0,photons/m^2^/s/nm
765,R (total),463000000000000.0,mag
766,696 nm,431000000000000.0,photons/m^2^/s/nm
767,816 nm,367000000000000.0,photons/m^2^/s/nm
768,857 nm,350000000000000.0,photons/m^2^/s/nm
769,914 nm,328000000000000.0,photons/m^2^/s/nm
770,5.5 GHz (ATCA),5500000000.0,microJy
771,r (SWIRE) AB,481000000000000.0,mag
772,F850LP (HST) AB,317000000000000.0,mag
773,I (CTIO),392000000000000.0,mag
774,UVW2 (XMM-OM) AB,1410000000000000.0,mag
775,UVM1 (XMM-OM) AB,1030000000000000.0,mag
776,U (XMM-OM) AB,871000000000000.0,mag
777,V (XMM-OM) AB,552000000000000.0,mag
778,Y (VISTA),294000000000000.0,mag
779,Ly{alpha} (VLT),2470000000000000.0,erg s^-1^ cm^-2^
780,He II 1640 (VLT),1830000000000000.0,erg s^-1^ cm^-2^
781,870 microns (LABOCA),345000000000.0,milliJy
782,19.19 mm (ALMA),15600000000.0,milliJy
783,U (ESO),820000000000000.0,microJy
784,F435W (HST),693000000000000.0,microJy
785,B (ESO),652000000000000.0,microJy
786,F606W (HST),503000000000000.0,microJy
787,I_c (ESO),346000000000000.0,microJy
788,F850LP (HST) AB,335000000000000.0,mag
789,F160W (HST) AB,195000000000000.0,mag
790,16 microns (IRS),19000000000000.0,microJy
791,F435W (HST/ACS) AB,698000000000000.0,mag
792,5010 A (CTIO),598000000000000.0,log(erg/cm^2^/s)
793,F606W (HST) AB,497000000000000.0,mag
794,F225W (HST) AB,1280000000000000.0,mag
795,F275W (HST) AB,1100000000000000.0,mag
796,F336W (HST) AB,892000000000000.0,mag
797,2-10 keV (XMM),4.5e+18,erg/cm^2^/s
798,F814W (HST),376000000000000.0,100 picoJy
799,F105W (HST),287000000000000.0,100 picoJy
800,0.86 mm (ALMA),349000000000.0,milliJy
801,U (HST/WFPC2) AB,1020000000000000.0,mag
802,O VI doublet (VLT),2900000000000000.0,erg/s/cm^2^
803,N V doublet (VLT),2420000000000000.0,erg/s/cm^2^
804,F160W (HST) AB,194000000000000.0,mag
805,870 microns (LABOCA),344000000000.0,milliJy
806,F300W (HST) AB,1000000000000000.0,mag
807,u (Keck) AB,882000000000000.0,mag
808,F160W (HST/NIC3) AB,186000000000000.0,mag
809,LW2 (ISOCAM),44400000000000.0,milliJy
810,11.4 microns,26300000000000.0,W cm^-2^ micron ^-1^
811,12.9 microns TIMMI2,24300000000000.0,milliJy
812,PAH 14.2 microns IRS,21100000000000.0,W cm^-2^
813,J (KPNO),237000000000000.0,mag
814,95 GHz (ATCA),95000000000.0,milliJy
815,I (VLT) AB,390000000000000.0,mag
816,R (Keck),467000000000000.0,mag
817,g' (CTIO),623000000000000.0,mag
818,7.6 cm (RATAN),3940000000.0,milliJy
819,F606W (HST),507000000000000.0,mag
820,24 GHz (ATCA),24100000000.0,milliJy
821,18 GHz (ATCA),17900000000.0,milliJy
822,111.914 GHz (CARMA),112000000000.0,milliJy
823,16 microns (Spitzer),18700000000000.0,milliJy
824,14-170 keV (Swift),2.22e+19,ergs/cm^2^/s
825,34 GHz (VSA),34000000000.0,milliJy
826,8 GHz (VLA),8260000000.0,milliJy
827,15-200 keV BeppoSAX,2.6e+19,erg/cm^2^/s
828,8.1 GHz (VLBA),8110000000.0,milliJy
829,0.3-2keV,4.79e+17,W m^-2
830,1450 A,2070000000000000.0,ergs/cm^2^/s/A
831,V (MAGNUM),683000000000000.0,milliJy
832,V,550000000000000.0,mag
833,B (MAGNUM),549000000000000.0,milliJy
834,I (MAGNUM),362000000000000.0,milliJy
835,M (KPNO),64500000000000.0,Jy
836,262 GHz (ESO),262000000000.0,Jy
837,610 MHz (GMRT),613000000.0,Jy
838,240 MHz (GMRT),242000000.0,Jy
839,B (NTT),712000000000000.0,mag
840,151.7 GHz (GBT),152000000000.0,Jy
841,113.8 GHz (GBT),114000000000.0,Jy
842,88.0 GHz (GBT),88000000000.0,Jy
843,43 GHz (VLBI),43200000000.0,Jy
844,37.9 GHz (GBT),37900000000.0,Jy
845,554.74 MHz (GBT),555000000.0,Jy
846,606.68 MHz (GMRT),607000000.0,Jy
847,2.4E+23 Hz (Fermi),2.4e+23,erg/cm^2^/s
848,18 GHz (ATCA),18000000000.0,Jy
849,580 MHz,580000000.0,Jy
850,15-136 keV BeppoSAX,1.83e+19,erg/s/cm^2^
851,15 microns (ISO),19800000000000.0,Jy
852,CO(6-5) (JCMT),691000000000.0,Jy km/s
853,8-24 keV (NuSTAR),3.87e+18,erg/s/cm^2^
854,3-24 keV (NuSTAR),3.26e+18,erg/s/cm^2^
855,3-8 keV (NuSTAR),1.33e+18,erg/s/cm^2^
856,3-20 keV (RXTE),2.78e+18,erg/cm^2^/s
857,0.6-6 keV Swift/XRT,7.98e+17,erg/cm^2^/s
858,UVW2 (Swift/UVOT),1470000000000000.0,ergs/cm^2^/s/A
859,327 MHz (VLBA),327000000.0,Jy
860,8888 MHz (VLBA),8890000000.0,milliJy
861,8562 MHz (VLBA),8560000000.0,milliJy
862,8238 MHz (VLBA),8240000000.0,milliJy
863,7904 MHz (VLBA),7900000000.0,milliJy
864,20-100 keV(INTEGRAL),1.93e+19,erg/s/cm^2^
865,Si-5 (GeminiN),25800000000000.0,milliJy
866,92 cm (WENSS),352000000.0,milliJy
867,32 GHz (MPIfR),32000000000.0,milliJy
868,8390 MHz,8390000000.0,Jy
869,2260 MHz,2260000000.0,Jy
870,8.434 GHz (VLA),8430000000.0,Jy
871,4.866 GHz (VLA),4870000000.0,Jy
872,4.816 GHz (VLA),4820000000.0,Jy
873,1.630 GHz (VLA),1630000000.0,Jy
874,0.608 GHz (WSRT),608000000.0,Jy
875,I (JKT),363000000000000.0,mag
876,94.4 GHz (GBT),94400000000.0,Jy
877,F110W (HST) AB,265000000000000.0,mag
878,1.67 GHz (VLBA),1670000000.0,milliJy
879,1.6 GHz (EVN),1600000000.0,milliJy
880,786 MHz (WSRT),786000000.0,Jy
881,320.2 MHz (GMRT),320000000.0,Jy
882,0.3-2.5 keV Chandra,3.39e+17,erg s^-1^ cm^-2^
883,g' (CFHT/MegaCam),616000000000000.0,mag
884,0.4-8 keV (Chandra),1.02e+18,ergs/cm^2^/s
885,u' (CFHT/MegaCam),799000000000000.0,mag
886,H{alpha} (AKARI),93400000000000.0,W/cm^2^
887,Pa{beta} (AKARI),47700000000000.0,W/cm^2^
888,Pa{beta) (Spitzer),47500000000000.0,W/cm^2^
889,Pa{alpha} (Spitzer),32500000000000.0,W/cm^2^
890,Pa{alpha} (AKARI),32200000000000.0,W/cm^2^
891,3.3 microns Spitzer,18500000000000.0,W/cm^2^
892,Br{alpha} (Spitzer),15100000000000.0,W/cm^2^
893,6.2 microns Spitzer,9850000000000.0,W/cm^2^
894,CO(12-11) (CSO),1380000000000.0,Jy km/s
895,CO(11-10) (CSO),1270000000000.0,Jy km/s
896,CO(10-9) (CSO),1150000000000.0,Jy km/s
897,CO(9-8) (CSO),1040000000000.0,Jy km/s
898,CO(8-7) (CSO),922000000000.0,Jy km/s
899,HNC(6-5) (CARMA),544000000000.0,Jy km/s
900,HCO+(6-5) (CARMA),535000000000.0,Jy km/s
901,HCN(6-5) (CARMA),532000000000.0,Jy km/s
902,[C I] P_1-P_0,492000000000.0,Jy km s^-1^
903,CO (4-3) (PdBI),461000000000.0,Jy km/s
904,CN (N=4-3) (PdBI),454000000000.0,Jy km s^-1^
905,HNC (J=5-4) (PdBI),453000000000.0,Jy km s^-1^
906,HCO+ (J=5-4) (IRAM),446000000000.0,Jy km s^-1^
907,HCN (5-4) (PdBI),443000000000.0,Jy km/s
908,302 GHz (SMA),302000000000.0,milliJy
909,245.905 GHz (IRAM),246000000000.0,milliJy
910,236.797 GHz (IRAM),237000000000.0,milliJy
911,201.166 GHz (IRAM),201000000000.0,milliJy
912,153.132 GHz (IRAM),153000000000.0,milliJy
913,113.4 GHz (IRAM),113000000000.0,milliJy
914,110.7 GHz (CARMA),111000000000.0,milliJy
915,90.8 GHz (IRAM),90800000000.0,milliJy
916,87.0 GHz (GBT),87000000000.0,Jy
917,CO(5-4) (PdBI),576000000000.0,Jy km/s
918,1287 MHz (GMRT),1290000000.0,milliJy
919,605 MHz (GMRT),605000000.0,milliJy
920,1280 A (AB),2340000000000000.0,mag
921,R (ESO/VLT),444000000000000.0,mag
922,r (Pan-STARRS1),487000000000000.0,mag
923,i (Pan-STARRS1),400000000000000.0,mag
924,Q,15600000000000.0,milliJy
925,H_2S (ALMA),369000000000.0,Jy km/s
926,84.04 GHz (NMA),84000000000.0,milliJy
927,20-30 keV (BeppoSAX),4.84e+18,erg/cm^2^/s
928,28.5 GHz (BIMA),28500000000.0,milliJy
929,100 GeV (HESS),2.42e+19,erg/cm^2^/s
930,0.5-2 keV (ROSAT),3.03e+17,erg/cm^2^/s
931,L'(UKIRT),78500000000000.0,mag
932,Q,14800000000000.0,mag
933,215 GHz (VLBI),215000000000.0,Jy
934,86 GHz (VLBI),86300000000.0,Jy
935,8.085 GHz (VLA),8090000000.0,milliJy
936,4.5 GHz (VLA),4500000000.0,milliJy
937,1.7 GHz (VLA),1700000000.0,milliJy
938,1.365 GHz (VLA),1370000000.0,milliJy
939,8 GHz (VLBA),8340000000.0,Jy
940,5 GHz (VLBA),4840000000.0,Jy
941,[Ar II] 6.98 (IRS),43000000000000.0,W/cm^2^
942,PAH 16.4 (IRS),18300000000000.0,ergs cm^-2^ s^-1^
943,PAH 17.4 (IRS),17200000000000.0,ergs cm^-2^ s^-1^
944,Q17.7 (Subaru),16900000000000.0,milliJy
945,880 microns (SMA),341000000000.0,milliJy
946,85.5 GHz (NMA),85500000000.0,milliJy
947,244 MHz (GMRT),244000000.0,Jy
948,240 MHz (GMRT),237000000.0,Jy
949,Si IV + O IV],2140000000000000.0,ergs/s/cm^2^
950,Si III] 1892,1580000000000000.0,ergs/s/cm^2^
951,U (XMM-OM),803000000000000.0,mag
952,5700 A,526000000000000.0,erg/s/cm^2^/Hz
953,Na I + He I,510000000000000.0,ergs/s/cm^2^
954,8.49 GHz (VLA),8490000000.0,milliJy
955,0.3-10 keV (Swift),1.24e+18,erg/cm^2^/s
956,U (Swift/UVOT),856000000000000.0,milliJy
957,3 GHz (VLA),3000000000.0,microJy
958,i (Pan-STARRS1) AB,399000000000000.0,mag
959,NB392 (INT) AB,765000000000000.0,mag
960,F814W (HST),373000000000000.0,mag
961,244.603 GHz (IRAM),245000000000.0,milliJy
962,203.850 GHz (IRAM),204000000000.0,milliJy
963,163.088 GHz (IRAM),163000000000.0,milliJy
964,81.551 GHz (IRAM),81600000000.0,milliJy
965,1.54 GHz (VLBA+GBT),1540000000.0,microJy
966,3mm (IRAM),96700000000.0,milliJy
967,13 cm (VLBI),2310000000.0,milliJy
968,3 microns (Spitzer),99900000000000.0,microJy
969,962 microns (UKIRT),312000000000.0,Jy
970,4.5-12.0 keV (XMM),1.99e+18,erg cm^-2^ s^-1^
971,F850LP (HST/ACS) AB,337000000000000.0,mag
972,F330W (HST),894000000000000.0,mag
973,B (LCO),678000000000000.0,mag
974,HI line (Parkes),1390000000.0,Jy km/s
975,1.465 GHz (VLA),1470000000.0,milliJy
976,B (INT/WFC),680000000000000.0,mag
977,Ly{alpha},2460000000000000.0,erg/cm^2^/s
978,O I 1302 (Sloan),2300000000000000.0,erg/s/cm^2^
979,C II 1335 (Sloan),2250000000000000.0,erg/s/cm^2^
980,[S III] (Herschel),9080000000000.0,W/m^2^
981,K (HST),145000000000000.0,mag
982,g (Keck),634000000000000.0,mag
983,0.5-12 keV (XMM),1.51e+18,ergs/cm^2^/s
984,0.25-5 keV (XMM),6.35e+17,erg/cm^2^/s
985,1150 A (FUSE),2610000000000000.0,erg/s/cm^2^/A
986,1799 A,1670000000000000.0,counts/32 s
987,3294 A,910000000000000.0,counts/32 s
988,PAH 5.7 (Spitzer),52600000000000.0,W/cm^2^
989,38.25 GHz (GBT),38300000000.0,milliJy
990,34.75 GHz (GBT),34800000000.0,milliJy
991,31.25 GHz (GBT),31300000000.0,milliJy
992,27.75 GHz (GBT),27800000000.0,milliJy
993,27.75 GHz (GBT),27300000000.0,milliJy
994,4.5 cm,6630000000.0,Jy
995,9 GHz (ATCA),9000000000.0,milliJy
996,150 MHz (LOFAR),150000000.0,milliJy
997,U (OAN-SPM),847000000000000.0,mag
998,V (OAN-SPM),521000000000000.0,mag
999,R (OAN-SPM),473000000000000.0,mag
1000,15.7 GHz (AMI LA),15700000000.0,milliJy
1001,H_2_ (12.2) (IRS),24600000000000.0,W/m^2^
1002,13.6 microns (IRS),22000000000000.0,W/m^2^
1003,185.60 MHz (MWA),186000000.0,milliJy
1004,154.88 MHz (MWA),155000000.0,milliJy
1005,F625W (HST),475000000000000.0,mag
1006,65 microns (AKARI),4610000000000.0,milliJy
1007,140 mcicrons (AKARI),2140000000000.0,milliJy
1008,B (XMM-OM),675000000000000.0,mag
1009,F606W (HST),500000000000000.0,mag
1010,450 microns,667000000000.0,Jy
1011,22 cm (WSRT),1360000000.0,Jy
1012,1514 MHz (VLA),1510000000.0,milliJy
1013,8.4 GHz (VLBI),8410000000.0,microJy
1014,2.3 GHz (VLBI),2270000000.0,microJy
1015,Si II,2370000000000000.0,ergs/s/cm^2^
1016,i' (GMOS-S) AB,384000000000000.0,mag
1017,Ca II,349000000000000.0,ergs/s/cm^2^
1018,B (VLT),707000000000000.0,mag
1019,20-60 keV (INTEGRAL),9.67e+18,erg/s/cm^2^
1020,0.5-4.5 keV,5.64e+17,counts s^-1^
1021,1350 microns (SCUBA),222000000000.0,milliJy
1022,F475W (HST) AB,632000000000000.0,mag
1023,F555W (HST) AB,559000000000000.0,mag
1024,F606W (HST) AB,506000000000000.0,mag
1025,F625W (HST) AB,474000000000000.0,mag
1026,F850LP (HST) AB,332000000000000.0,mag
1027,m(2000),1500000000000000.0,mag
1028,UVW2 (Swift-UVOT),1550000000000000.0,erg/s/cm^2^/A
1029,[O II] 2471(HST),1210000000000000.0,erg/cm^2^/s
1030,UVW1 (Swift-UVOT),1150000000000000.0,erg/s/cm^2^/A
1031,U (Swift-UVOT),865000000000000.0,erg/s/cm^2^/A
1032,U (XMM-OM),863000000000000.0,ergs/cm^2^/s/A
1033,[O III] 4960 (HST),604000000000000.0,erg/cm^2^/s
1034,L' (Gemini),76900000000000.0,milliJy
1035,Si4 (Gemini),29100000000000.0,milliJy
1036,150 microns (ISO),2000000000000.0,Jy
1037,8.5 GHz (VLA),8500000000.0,milliJy
