,band_rem,class,precision,recall
0,X-ray flux,AGN,0.9435897435897436,0.9019607843137255
1,X-ray flux,STAR,0.934931506849315,0.8980263157894737
2,X-ray flux,ULX,0.4,0.5333333333333333
3,X-ray flux,XRB,0.6634615384615384,0.7931034482758621
4,X-ray flux,YSO,1.0,0.9411764705882353
