,band_rem,class,precision,recall
0,X-ray variability -wise,AGN,0.927536231884058,0.9411764705882353
1,X-ray variability -wise,STAR,0.9395973154362416,0.9210526315789473
2,X-ray variability -wise,ULX,0.5238095238095238,0.7333333333333333
3,X-ray variability -wise,XRB,0.7619047619047619,0.735632183908046
4,X-ray variability -wise,YSO,1.0,1.0
